# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	k             
0             	N/A           	N/A           	N/A           	N/A           	N/A           
6.8679e-05    	1.515568e-01	4.847479e-03	1.858026e-04	3.546925e-03	1.488858e-04
0.000174      	3.161399e-02	7.110465e-03	2.762274e-04	6.631486e-03	1.846420e-04
0.000292153   	2.056734e-02	7.198058e-03	3.009681e-04	6.898271e-03	1.752547e-04
0.000418463   	1.652033e-02	6.977970e-03	3.182675e-04	6.649435e-03	1.667103e-04
0.000549389   	1.417028e-02	6.476365e-03	3.267052e-04	6.140917e-03	1.570876e-04
0.000681015   	1.316641e-02	5.915553e-03	3.300541e-04	5.573558e-03	1.461799e-04
0.000813182   	1.175756e-02	5.495014e-03	3.364383e-04	5.138313e-03	1.351857e-04
0.000946567   	1.150894e-02	5.154971e-03	3.449758e-04	4.791543e-03	1.221591e-04
0.00108137    	1.099831e-02	4.850925e-03	3.532490e-04	4.488334e-03	1.096382e-04
0.00121687    	1.088783e-02	4.558880e-03	3.596304e-04	4.201248e-03	9.845278e-05
0.00135222    	1.071788e-02	4.282974e-03	3.652900e-04	3.935843e-03	8.900934e-05
0.0014869     	1.053376e-02	4.032370e-03	3.695696e-04	3.697070e-03	8.140396e-05
0.00162079    	1.070382e-02	3.825529e-03	3.755873e-04	3.506351e-03	7.543160e-05
0.00175417    	1.012206e-02	3.643844e-03	3.813583e-04	3.335021e-03	7.080911e-05
0.00188724    	9.938292e-03	3.486234e-03	3.888564e-04	3.197617e-03	6.714663e-05
0.00202015    	1.039733e-02	3.346208e-03	3.960540e-04	3.069293e-03	6.439951e-05
0.00215299    	1.030231e-02	3.216651e-03	4.031548e-04	2.951009e-03	6.215672e-05
0.00228577    	1.012253e-02	3.098323e-03	4.103680e-04	2.846932e-03	6.021166e-05
0.00241847    	1.037534e-02	2.993473e-03	4.173232e-04	2.749942e-03	5.854432e-05
0.00255114    	1.011236e-02	2.894257e-03	4.245270e-04	2.659187e-03	5.705694e-05
0.00268375    	1.023078e-02	2.804154e-03	4.307541e-04	2.574906e-03	5.571934e-05
0.00281632    	1.006131e-02	2.719131e-03	4.369210e-04	2.498409e-03	5.446051e-05
0.0029489     	1.014961e-02	2.638160e-03	4.425487e-04	2.423725e-03	5.332777e-05
0.00308147    	9.827338e-03	2.564731e-03	4.471820e-04	2.353920e-03	5.220990e-05
0.00321393    	9.431831e-03	2.491361e-03	4.508848e-04	2.287408e-03	5.118953e-05
0.00334617    	9.544713e-03	2.421731e-03	4.538683e-04	2.223757e-03	5.015323e-05
0.00347818    	9.456098e-03	2.354943e-03	4.551410e-04	2.161499e-03	4.922877e-05
0.00360994    	9.177376e-03	2.291537e-03	4.567019e-04	2.107903e-03	4.838005e-05
0.00374152    	9.199142e-03	2.233391e-03	4.572887e-04	2.055789e-03	4.761223e-05
0.00387297    	9.122312e-03	2.178274e-03	4.576032e-04	2.009412e-03	4.696328e-05
0.00400435    	9.131867e-03	2.127653e-03	4.577959e-04	1.969082e-03	4.639133e-05
0.00413575    	8.980549e-03	2.080393e-03	4.576033e-04	1.932187e-03	4.594781e-05
0.0042672     	8.647836e-03	2.036622e-03	4.573359e-04	1.899348e-03	4.559901e-05
0.00439873    	8.872757e-03	1.997188e-03	4.566499e-04	1.871842e-03	4.536478e-05
0.00453036    	8.805824e-03	1.960500e-03	4.565193e-04	1.849855e-03	4.527836e-05
0.00466214    	8.760988e-03	1.927822e-03	4.561883e-04	1.828978e-03	4.536381e-05
