# y+ ()       
# Time        	patch         	min           	max           	average       
0.000821157   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000821157   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000821157   	propellerTip	2.533920e+00	2.722605e+02	3.315945e+01
0.000885185   	walls	4.082241e-02	4.220128e+01	1.153387e+01
0.000885185   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000885185   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000885185   	propellerTip	3.008894e+00	2.562533e+02	3.204572e+01
0.000947867   	walls	7.362487e-02	4.297521e+01	1.174975e+01
0.000947867   	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.000947867   	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.000947867   	propellerTip	3.486153e+00	2.511231e+02	3.126740e+01
0.00100935    	walls	1.368281e-01	4.370790e+01	1.195590e+01
0.00100935    	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.00100935    	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.00100935    	propellerTip	3.485974e+00	2.455669e+02	3.073561e+01
0.00107       	walls	2.588336e-01	4.440282e+01	1.215349e+01
0.00107       	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.00107       	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.00107       	propellerTip	3.552453e+00	2.398366e+02	3.037893e+01
0.00112997    	walls	2.096733e-01	4.506585e+01	1.234295e+01
0.00112997    	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.00112997    	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.00112997    	propellerTip	3.736176e+00	2.339893e+02	3.016035e+01
0.00118907    	walls	9.985052e-02	4.569652e+01	1.252541e+01
0.00118907    	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.00118907    	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.00118907    	propellerTip	4.307852e+00	2.275457e+02	3.004936e+01
0.0012476     	walls	2.505952e-01	4.630001e+01	1.270152e+01
0.0012476     	innerCylinder	0.000000e+00	0.000000e+00	0.000000e+00
0.0012476     	innerCylinder_slave	0.000000e+00	0.000000e+00	0.000000e+00
0.0012476     	propellerTip	4.808731e+00	2.208605e+02	3.001717e+01
0.00130603    	walls	1.852588e-01	4.688155e+01	1.287279e+01
