# y+ ()       
# Time        	patch         	min           	max           	average       
0.000793726   	innerCylinder_slave	1.412070e-01	3.681594e+01	8.340002e+00
0.000793726   	propellerTip	1.714160e+00	3.225397e+02	3.380527e+01
0.000857862   	innerCylinder	2.440571e-01	4.249137e+01	8.998818e+00
0.000857862   	innerCylinder_slave	1.452640e-01	3.795096e+01	8.646300e+00
0.000857862   	propellerTip	1.981383e+00	3.222052e+02	3.422038e+01
0.00092071    	innerCylinder	2.503302e-01	4.366153e+01	9.310741e+00
0.00092071    	innerCylinder_slave	1.490333e-01	3.894928e+01	8.934873e+00
0.00092071    	propellerTip	2.044702e+00	3.135641e+02	3.462988e+01
0.000981436   	innerCylinder	2.563799e-01	4.464331e+01	9.602964e+00
0.000981436   	innerCylinder_slave	1.525027e-01	3.988498e+01	9.202993e+00
0.000981436   	propellerTip	2.083034e+00	3.197432e+02	3.497510e+01
0.0010404     	innerCylinder	2.623276e-01	4.552786e+01	9.881432e+00
0.0010404     	innerCylinder_slave	1.557215e-01	4.070744e+01	9.455403e+00
0.0010404     	propellerTip	1.784899e+00	3.194538e+02	3.533926e+01
0.00109904    	innerCylinder	2.683214e-01	4.633733e+01	1.014971e+01
0.00109904    	innerCylinder_slave	1.587637e-01	4.144740e+01	9.696336e+00
0.00109904    	propellerTip	1.421291e+00	3.207572e+02	3.554664e+01
0.00115762    	innerCylinder	2.744672e-01	4.716083e+01	1.041374e+01
0.00115762    	innerCylinder_slave	1.616910e-01	4.209062e+01	9.931024e+00
0.00115762    	propellerTip	1.728794e+00	3.114576e+02	3.573079e+01
0.00121639    	innerCylinder	2.808204e-01	4.809353e+01	1.067483e+01
0.00121639    	innerCylinder_slave	1.645136e-01	4.265609e+01	1.016065e+01
0.00121639    	propellerTip	2.093126e+00	3.187896e+02	3.597386e+01
0.00127541    	innerCylinder	2.873596e-01	4.891205e+01	1.093163e+01
0.00127541    	innerCylinder_slave	1.672172e-01	4.315639e+01	1.038430e+01
0.00127541    	propellerTip	1.914376e+00	3.174665e+02	3.627409e+01
0.00133473    	innerCylinder	2.941180e-01	4.956260e+01	1.118439e+01
0.00133473    	innerCylinder_slave	1.698113e-01	4.377022e+01	1.060295e+01
0.00133473    	propellerTip	1.860505e+00	3.184535e+02	3.660476e+01
0.00139471    	innerCylinder	3.011466e-01	5.009265e+01	1.143527e+01
0.00139471    	innerCylinder_slave	1.723121e-01	4.431149e+01	1.081860e+01
0.00139471    	propellerTip	1.923564e+00	3.197634e+02	3.687699e+01
0.00145547    	innerCylinder	3.086031e-01	5.066611e+01	1.168559e+01
0.00145547    	innerCylinder_slave	1.747271e-01	4.478853e+01	1.103257e+01
0.00145547    	propellerTip	1.984537e+00	3.180277e+02	3.716967e+01
0.00151651    	innerCylinder	3.152451e-01	5.112670e+01	1.193387e+01
0.00151651    	innerCylinder_slave	1.770207e-01	4.519248e+01	1.124346e+01
0.00151651    	propellerTip	1.822936e+00	3.206570e+02	3.743745e+01
0.00157765    	innerCylinder	3.209161e-01	5.146964e+01	1.217906e+01
0.00157765    	innerCylinder_slave	1.791714e-01	4.552047e+01	1.145007e+01
0.00157765    	propellerTip	1.789478e+00	3.226777e+02	3.768024e+01
0.00163889    	innerCylinder	3.271395e-01	5.174990e+01	1.242261e+01
0.00163889    	innerCylinder_slave	1.812003e-01	4.578004e+01	1.165403e+01
0.00163889    	propellerTip	1.904024e+00	3.206604e+02	3.788864e+01
0.00170035    	innerCylinder	3.340218e-01	5.206956e+01	1.266648e+01
0.00170035    	innerCylinder_slave	1.831082e-01	4.598540e+01	1.185635e+01
0.00170035    	propellerTip	2.104025e+00	3.143772e+02	3.812515e+01
0.00176225    	innerCylinder	3.415052e-01	5.229384e+01	1.291056e+01
0.00176225    	innerCylinder_slave	1.848774e-01	4.614320e+01	1.205678e+01
0.00176225    	propellerTip	2.334540e+00	3.178857e+02	3.831217e+01
0.00182476    	innerCylinder	3.491704e-01	5.242875e+01	1.315582e+01
0.00182476    	innerCylinder_slave	1.864887e-01	4.625093e+01	1.225728e+01
0.00182476    	propellerTip	2.467175e+00	3.106019e+02	3.849064e+01
0.00188788    	innerCylinder	3.560285e-01	5.258679e+01	1.340206e+01
0.00188788    	innerCylinder_slave	1.878911e-01	4.634631e+01	1.245781e+01
0.00188788    	propellerTip	2.355193e+00	3.119101e+02	3.866631e+01
0.00195155    	innerCylinder	3.610114e-01	5.274656e+01	1.365019e+01
0.00195155    	innerCylinder_slave	1.890871e-01	4.657404e+01	1.265891e+01
0.00195155    	propellerTip	2.130717e+00	3.145166e+02	3.882832e+01
0.00201569    	innerCylinder	3.636542e-01	5.284030e+01	1.389871e+01
0.00201569    	innerCylinder_slave	1.900442e-01	4.676361e+01	1.285944e+01
0.00201569    	propellerTip	1.924137e+00	3.149638e+02	3.906447e+01
0.0020802     	innerCylinder	3.658732e-01	5.288764e+01	1.414715e+01
0.0020802     	innerCylinder_slave	1.907372e-01	4.691489e+01	1.305762e+01
0.0020802     	propellerTip	1.774625e+00	3.168613e+02	3.925670e+01
0.00214501    	innerCylinder	3.732070e-01	5.290316e+01	1.439640e+01
0.00214501    	innerCylinder_slave	1.913762e-01	4.703205e+01	1.325559e+01
0.00214501    	propellerTip	1.714340e+00	3.166568e+02	3.940199e+01
0.00220997    	innerCylinder	3.923460e-01	5.289749e+01	1.464445e+01
0.00220997    	innerCylinder_slave	1.920450e-01	4.712302e+01	1.345195e+01
0.00220997    	propellerTip	1.771641e+00	3.167675e+02	3.953423e+01
0.00227509    	innerCylinder	4.248002e-01	5.287826e+01	1.489114e+01
0.00227509    	innerCylinder_slave	1.930452e-01	4.719570e+01	1.364856e+01
0.00227509    	propellerTip	1.889775e+00	3.154518e+02	3.970908e+01
0.00234044    	innerCylinder	4.259863e-01	5.285387e+01	1.513521e+01
0.00234044    	innerCylinder_slave	1.945627e-01	4.725928e+01	1.384537e+01
0.00234044    	propellerTip	1.883462e+00	3.147443e+02	3.989142e+01
0.00240613    	innerCylinder	4.269582e-01	5.283020e+01	1.537953e+01
0.00240613    	innerCylinder_slave	1.969343e-01	4.731972e+01	1.404395e+01
0.00240613    	propellerTip	2.213268e+00	3.133304e+02	4.006102e+01
0.002472      	innerCylinder	4.284679e-01	5.281379e+01	1.562373e+01
0.002472      	innerCylinder_slave	2.003263e-01	4.738320e+01	1.424479e+01
0.002472      	propellerTip	2.122830e+00	3.131743e+02	4.016181e+01
0.00253777    	innerCylinder	4.301424e-01	5.281174e+01	1.586614e+01
0.00253777    	innerCylinder_slave	2.049549e-01	4.745295e+01	1.444586e+01
0.00253777    	propellerTip	1.840448e+00	3.183246e+02	4.026143e+01
0.00260334    	innerCylinder	4.321954e-01	5.282942e+01	1.610697e+01
0.00260334    	innerCylinder_slave	2.109219e-01	4.753280e+01	1.464824e+01
0.00260334    	propellerTip	1.554673e+00	3.151456e+02	4.036448e+01
0.0026687     	innerCylinder	4.343974e-01	5.287126e+01	1.634463e+01
0.0026687     	innerCylinder_slave	2.180926e-01	4.762847e+01	1.485057e+01
0.0026687     	propellerTip	1.391418e+00	3.140085e+02	4.048285e+01
0.00273381    	innerCylinder	4.219143e-01	5.293675e+01	1.657691e+01
0.00273381    	innerCylinder_slave	2.264344e-01	4.799769e+01	1.505146e+01
0.00273381    	propellerTip	1.508543e+00	3.167854e+02	4.049087e+01
0.00279846    	innerCylinder	3.929981e-01	5.302599e+01	1.680651e+01
0.00279846    	innerCylinder_slave	2.359163e-01	4.896411e+01	1.525271e+01
